iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 31, 2018"
Total Net Assets,"46,952,374,315.77"
Shares Outstanding,"241,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"GXP","GREAT PLAINS ENERGY INC","Equity","0.41","33.94","5,669,837.00","192,434,267.78","192,434,267.78","Utilities","2483706","US3911641005","New York Stock Exchange Inc."
"WPX","WPX ENERGY INC","Equity","0.40","18.21","10,469,178.00","190,643,731.38","190,643,731.38","Energy","B40PCD9","US98212B1035","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.40","201.46","938,509.00","189,072,023.14","189,072,023.14","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"WEX","WEX INC","Equity","0.39","175.81","1,052,159.00","184,980,073.79","184,980,073.79","Information Technology","B8383P2","US96208T1043","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.39","35.02","5,250,415.00","183,869,533.30","183,869,533.30","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.38","93.00","1,945,165.00","180,900,345.00","180,900,345.00","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.38","127.49","1,411,379.00","179,936,708.71","179,936,708.71","Financials","B00JQL9","US82669G1040","NASDAQ"
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.38","93.57","1,914,773.00","179,165,309.61","179,165,309.61","Materials","2729068","US7595091023","New York Stock Exchange Inc."
"SCI","SERVICE","Equity","0.38","36.69","4,864,071.00","178,462,764.99","178,462,764.99","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.37","53.06","3,306,829.00","175,460,346.74","175,460,346.74","Financials","2619772","US6952631033","NASDAQ"
"CSL","CARLISLE COMPANIES INC","Equity","0.37","107.39","1,624,494.00","174,454,410.66","174,454,410.66","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
